"","Year","Cause","Age","Female","Male"
"4085",1998,1,Total,458935,393447
"4085",1998,1,0,1579,2089
"4085",1998,1,1,167,192
"4085",1998,1,2,99,130
"4085",1998,1,3,64,72
"4085",1998,1,4,48,70
"4085",1998,1,5 - 9,209,301
"4085",1998,1,10 - 14,256,404
"4085",1998,1,15 - 19,650,1523
"4085",1998,1,20 - 24,663,2069
"4085",1998,1,25 - 29,960,2469
"4085",1998,1,30 - 34,1548,3770
"4085",1998,1,35 - 39,2597,5435
"4085",1998,1,40 - 44,3879,7969
"4085",1998,1,45 - 49,5852,11242
"4085",1998,1,50 - 54,7102,14228
"4085",1998,1,55 - 59,13354,28394
"4085",1998,1,60 - 64,18789,39178
"4085",1998,1,65 - 69,25872,48160
"4085",1998,1,70 - 74,43988,53454
"4085",1998,1,75 - 79,67777,55922
"4085",1998,1,80 - 84,74416,44097
"4085",1998,1,85 - 89,106651,47058
"4085",1998,1,90 - 94,62877,20730
"4085",1998,1,95+,19538,4491
"4085",1998,1,UNK,0,0
"4085",1998,2,Total,3863,3938
"4085",1998,2,0,17,29
"4085",1998,2,1,10,12
"4085",1998,2,2,5,7
"4085",1998,2,3,4,3
"4085",1998,2,4,0,1
"4085",1998,2,5 - 9,3,5
"4085",1998,2,10 - 14,5,4
"4085",1998,2,15 - 19,10,19
"4085",1998,2,20 - 24,6,18
"4085",1998,2,25 - 29,25,51
"4085",1998,2,30 - 34,38,109
"4085",1998,2,35 - 39,55,159
"4085",1998,2,40 - 44,62,167
"4085",1998,2,45 - 49,67,193
"4085",1998,2,50 - 54,66,204
"4085",1998,2,55 - 59,143,342
"4085",1998,2,60 - 64,181,403
"4085",1998,2,65 - 69,292,443
"4085",1998,2,70 - 74,474,505
"4085",1998,2,75 - 79,656,477
"4085",1998,2,80 - 84,553,329
"4085",1998,2,85 - 89,719,304
"4085",1998,2,90 - 94,379,126
"4085",1998,2,95+,93,28
"4085",1998,2,UNK,0,0
"4085",1998,3,Total,107106,111339
"4085",1998,3,0,16,10
"4085",1998,3,1,12,11
"4085",1998,3,2,8,15
"4085",1998,3,3,12,9
"4085",1998,3,4,10,4
"4085",1998,3,5 - 9,50,65
"4085",1998,3,10 - 14,40,86
"4085",1998,3,15 - 19,83,101
"4085",1998,3,20 - 24,79,154
"4085",1998,3,25 - 29,193,208
"4085",1998,3,30 - 34,462,458
"4085",1998,3,35 - 39,1056,795
"4085",1998,3,40 - 44,1702,1617
"4085",1998,3,45 - 49,2910,3167
"4085",1998,3,50 - 54,3765,4847
"4085",1998,3,55 - 59,7084,10882
"4085",1998,3,60 - 64,8866,14843
"4085",1998,3,65 - 69,10532,17460
"4085",1998,3,70 - 74,14750,17833
"4085",1998,3,75 - 79,17991,16217
"4085",1998,3,80 - 84,14397,10172
"4085",1998,3,85 - 89,15225,8883
"4085",1998,3,90 - 94,6462,3010
"4085",1998,3,95+,1401,492
"4085",1998,3,UNK,0,0
"4085",1998,4,Total,242103,169295
"4085",1998,4,0,20,25
"4085",1998,4,1,17,11
"4085",1998,4,2,8,14
"4085",1998,4,3,3,2
"4085",1998,4,4,5,7
"4085",1998,4,5 - 9,20,15
"4085",1998,4,10 - 14,23,20
"4085",1998,4,15 - 19,26,69
"4085",1998,4,20 - 24,56,88
"4085",1998,4,25 - 29,118,168
"4085",1998,4,30 - 34,208,427
"4085",1998,4,35 - 39,354,907
"4085",1998,4,40 - 44,625,1730
"4085",1998,4,45 - 49,992,2899
"4085",1998,4,50 - 54,1316,4054
"4085",1998,4,55 - 59,2783,8817
"4085",1998,4,60 - 64,5367,14071
"4085",1998,4,65 - 69,9462,19634
"4085",1998,4,70 - 74,19285,23718
"4085",1998,4,75 - 79,34683,27073
"4085",1998,4,80 - 84,43570,23557
"4085",1998,4,85 - 89,67967,26798
"4085",1998,4,90 - 94,41899,12412
"4085",1998,4,95+,13296,2779
"4085",1998,4,UNK,0,0
"4085",1998,5,Total,12970,10619
"4085",1998,5,0,278,411
"4085",1998,5,1,19,20
"4085",1998,5,2,5,9
"4085",1998,5,3,1,3
"4085",1998,5,4,2,3
"4085",1998,5,5 - 9,9,12
"4085",1998,5,10 - 14,14,10
"4085",1998,5,15 - 19,34,124
"4085",1998,5,20 - 24,35,120
"4085",1998,5,25 - 29,54,145
"4085",1998,5,30 - 34,68,255
"4085",1998,5,35 - 39,137,415
"4085",1998,5,40 - 44,157,492
"4085",1998,5,45 - 49,221,622
"4085",1998,5,50 - 54,237,638
"4085",1998,5,55 - 59,342,1000
"4085",1998,5,60 - 64,423,1067
"4085",1998,5,65 - 69,497,947
"4085",1998,5,70 - 74,762,824
"4085",1998,5,75 - 79,1148,756
"4085",1998,5,80 - 84,1511,702
"4085",1998,5,85 - 89,2900,995
"4085",1998,5,90 - 94,2730,766
"4085",1998,5,95+,1386,283
"4085",1998,5,UNK,0,0
"4085",1998,6,Total,3435,6285
"4085",1998,6,0,0,1
"4085",1998,6,1,0,1
"4085",1998,6,2,0,0
"4085",1998,6,3,0,0
"4085",1998,6,4,0,0
"4085",1998,6,5 - 9,0,0
"4085",1998,6,10 - 14,1,2
"4085",1998,6,15 - 19,24,38
"4085",1998,6,20 - 24,42,156
"4085",1998,6,25 - 29,54,211
"4085",1998,6,30 - 34,69,326
"4085",1998,6,35 - 39,112,442
"4085",1998,6,40 - 44,149,592
"4085",1998,6,45 - 49,153,625
"4085",1998,6,50 - 54,144,583
"4085",1998,6,55 - 59,181,825
"4085",1998,6,60 - 64,208,696
"4085",1998,6,65 - 69,149,512
"4085",1998,6,70 - 74,195,343
"4085",1998,6,75 - 79,254,279
"4085",1998,6,80 - 84,408,208
"4085",1998,6,85 - 89,673,281
"4085",1998,6,90 - 94,469,135
"4085",1998,6,95+,150,29
"4085",1998,6,UNK,0,0
"4085",1998,7,Total,8691,7225
"4085",1998,7,0,18,49
"4085",1998,7,1,9,17
"4085",1998,7,2,8,8
"4085",1998,7,3,7,9
"4085",1998,7,4,4,10
"4085",1998,7,5 - 9,17,28
"4085",1998,7,10 - 14,17,30
"4085",1998,7,15 - 19,13,49
"4085",1998,7,20 - 24,21,54
"4085",1998,7,25 - 29,26,65
"4085",1998,7,30 - 34,46,73
"4085",1998,7,35 - 39,83,132
"4085",1998,7,40 - 44,107,153
"4085",1998,7,45 - 49,130,201
"4085",1998,7,50 - 54,130,233
"4085",1998,7,55 - 59,263,354
"4085",1998,7,60 - 64,391,503
"4085",1998,7,65 - 69,491,658
"4085",1998,7,70 - 74,956,871
"4085",1998,7,75 - 79,1507,1259
"4085",1998,7,80 - 84,1618,1128
"4085",1998,7,85 - 89,1887,988
"4085",1998,7,90 - 94,800,323
"4085",1998,7,95+,142,30
"4085",1998,7,UNK,0,0
"4085",1998,8,Total,14939,8255
"4085",1998,8,0,11,18
"4085",1998,8,1,3,8
"4085",1998,8,2,4,2
"4085",1998,8,3,1,1
"4085",1998,8,4,3,3
"4085",1998,8,5 - 9,8,7
"4085",1998,8,10 - 14,5,16
"4085",1998,8,15 - 19,13,13
"4085",1998,8,20 - 24,9,25
"4085",1998,8,25 - 29,23,36
"4085",1998,8,30 - 34,25,50
"4085",1998,8,35 - 39,42,85
"4085",1998,8,40 - 44,52,125
"4085",1998,8,45 - 49,101,218
"4085",1998,8,50 - 54,94,241
"4085",1998,8,55 - 59,275,510
"4085",1998,8,60 - 64,521,841
"4085",1998,8,65 - 69,883,1091
"4085",1998,8,70 - 74,1625,1187
"4085",1998,8,75 - 79,2702,1268
"4085",1998,8,80 - 84,2790,1015
"4085",1998,8,85 - 89,3598,1066
"4085",1998,8,90 - 94,1746,368
"4085",1998,8,95+,405,61
"4085",1998,8,UNK,0,0
"4085",1998,9,Total,19683,20827
"4085",1998,9,0,3,6
"4085",1998,9,1,3,5
"4085",1998,9,2,1,1
"4085",1998,9,3,1,2
"4085",1998,9,4,0,1
"4085",1998,9,5 - 9,5,4
"4085",1998,9,10 - 14,0,7
"4085",1998,9,15 - 19,5,8
"4085",1998,9,20 - 24,10,20
"4085",1998,9,25 - 29,25,74
"4085",1998,9,30 - 34,108,252
"4085",1998,9,35 - 39,240,593
"4085",1998,9,40 - 44,416,1074
"4085",1998,9,45 - 49,591,1379
"4085",1998,9,50 - 54,592,1452
"4085",1998,9,55 - 59,993,2490
"4085",1998,9,60 - 64,1221,2957
"4085",1998,9,65 - 69,1341,2602
"4085",1998,9,70 - 74,1988,2327
"4085",1998,9,75 - 79,2759,2011
"4085",1998,9,80 - 84,2869,1392
"4085",1998,9,85 - 89,3881,1438
"4085",1998,9,90 - 94,2035,632
"4085",1998,9,95+,596,100
"4085",1998,9,UNK,0,0
"4085",1998,10,Total,6129,4606
"4085",1998,10,0,0,1
"4085",1998,10,1,1,1
"4085",1998,10,2,2,0
