"","Year","Cause","Age","Female","Male"
"4020",1990,1,Total,51305,52825
"4020",1990,1,0,406,580
"4020",1990,1,1,37,46
"4020",1990,1,2,20,29
"4020",1990,1,3,15,18
"4020",1990,1,4,14,24
"4020",1990,1,5 - 9,64,72
"4020",1990,1,10 - 14,53,67
"4020",1990,1,15 - 19,99,301
"4020",1990,1,20 - 24,171,490
"4020",1990,1,25 - 29,173,507
"4020",1990,1,30 - 34,245,542
"4020",1990,1,35 - 39,394,624
"4020",1990,1,40 - 44,590,949
"4020",1990,1,45 - 49,660,1127
"4020",1990,1,50 - 54,938,1722
"4020",1990,1,55 - 59,1548,2971
"4020",1990,1,60 - 64,2305,4663
"4020",1990,1,65 - 69,3651,6828
"4020",1990,1,70 - 74,3892,5859
"4020",1990,1,75 - 79,8213,9062
"4020",1990,1,80 - 84,10784,8411
"4020",1990,1,85 - 89,17033,7933
"4020",1990,1,90 - 94,0,0
"4020",1990,1,95+,0,0
"4020",1990,1,UNK,0,0
"4020",1990,2,Total,592,432
"4020",1990,2,0,3,4
"4020",1990,2,1,2,2
"4020",1990,2,2,3,2
"4020",1990,2,3,0,0
"4020",1990,2,4,0,0
"4020",1990,2,5 - 9,2,2
"4020",1990,2,10 - 14,0,1
"4020",1990,2,15 - 19,1,1
"4020",1990,2,20 - 24,0,1
"4020",1990,2,25 - 29,3,2
"4020",1990,2,30 - 34,6,5
"4020",1990,2,35 - 39,6,5
"4020",1990,2,40 - 44,8,2
"4020",1990,2,45 - 49,6,12
"4020",1990,2,50 - 54,8,12
"4020",1990,2,55 - 59,12,23
"4020",1990,2,60 - 64,27,34
"4020",1990,2,65 - 69,46,66
"4020",1990,2,70 - 74,42,32
"4020",1990,2,75 - 79,105,74
"4020",1990,2,80 - 84,122,86
"4020",1990,2,85 - 89,190,66
"4020",1990,2,90 - 94,0,0
"4020",1990,2,95+,0,0
"4020",1990,2,UNK,0,0
"4020",1990,3,Total,11376,15613
"4020",1990,3,0,3,2
"4020",1990,3,1,2,0
"4020",1990,3,2,2,2
"4020",1990,3,3,4,7
"4020",1990,3,4,2,4
"4020",1990,3,5 - 9,18,12
"4020",1990,3,10 - 14,3,10
"4020",1990,3,15 - 19,7,22
"4020",1990,3,20 - 24,12,23
"4020",1990,3,25 - 29,22,35
"4020",1990,3,30 - 34,52,70
"4020",1990,3,35 - 39,131,102
"4020",1990,3,40 - 44,256,229
"4020",1990,3,45 - 49,331,381
"4020",1990,3,50 - 54,518,650
"4020",1990,3,55 - 59,791,1264
"4020",1990,3,60 - 64,1020,1858
"4020",1990,3,65 - 69,1470,2566
"4020",1990,3,70 - 74,1148,2085
"4020",1990,3,75 - 79,1792,2755
"4020",1990,3,80 - 84,1865,2048
"4020",1990,3,85 - 89,1927,1488
"4020",1990,3,90 - 94,0,0
"4020",1990,3,95+,0,0
"4020",1990,3,UNK,0,0
"4020",1990,4,Total,21449,18315
"4020",1990,4,0,3,4
"4020",1990,4,1,4,1
"4020",1990,4,2,1,1
"4020",1990,4,3,3,1
"4020",1990,4,4,1,1
"4020",1990,4,5 - 9,4,7
"4020",1990,4,10 - 14,6,3
"4020",1990,4,15 - 19,5,8
"4020",1990,4,20 - 24,13,24
"4020",1990,4,25 - 29,17,28
"4020",1990,4,30 - 34,25,43
