Year          Age         mx       qx    ax      lx      dx      Lx       Tx     ex
 1981-1984        0      0.01270  0.01256  0.09  100000    1256   98856  7822701  78.23
1981-1984      1-4      0.00037  0.00150  1.63   98744     148  394627  7723846  78.22
1981-1984      5-9      0.00022  0.00111  2.35   98596     110  492692  7329218  74.34
1981-1984     10-14     0.00019  0.00097  2.73   98487      96  492215  6836527  69.42
1981-1984     15-19     0.00034  0.00171  2.57   98391     168  491545  6344311  64.48
1981-1984     20-24     0.00039  0.00197  2.44   98222     194  490617  5852767  59.59
1981-1984     25-29     0.00046  0.00229  2.59   98029     225  489602  5362150  54.70
1981-1984     30-34     0.00055  0.00276  2.58   97804     270  488365  4872548  49.82
1981-1984     35-39     0.00079  0.00392  2.57   97534     382  486743  4384183  44.95
1981-1984     40-44     0.00115  0.00575  2.65   97152     558  484450  3897440  40.12
1981-1984     45-49     0.00180  0.00896  2.69   96594     865  480972  3412990  35.33
1981-1984     50-54     0.00292  0.01450  2.65   95728    1388  475383  2932019  30.63
1981-1984     55-59     0.00481  0.02376  2.66   94340    2242  466465  2456635  26.04
1981-1984     60-64     0.00836  0.04104  2.73   92098    3780  451915  1990170  21.61
1981-1984     65-69     0.01480  0.07153  2.67   88318    6317  426887  1538255  17.42
1981-1984     70-74     0.02785  0.13096  2.73   82001   10739  385606  1111368  13.55
1981-1984     75-79     0.05259  0.23384  2.63   71262   16664  316846   725762  10.18
1981-1984     80-84     0.09192  0.37436  2.52   54598   20439  222355   408916   7.49
1981-1984     85-89     0.15168  0.54204  2.37   34158   18515  122068   186561   5.46
1981-1984     90-94     0.21491  0.66793  2.17   15643   10449   48619    64494   4.12
1981-1984     95-99     0.30907  0.80344  2.01    5195    4174   13504    15874   3.06
1981-1984    100-104    0.42020  0.89337  1.78    1021     912    2171     2371   2.32
1981-1984    105-109    0.54029  0.94528  1.56     109     103     190      200   1.84
1981-1984    110+       0.63784  1.00000  1.57       6       6       9        9   1.57
1985-1989        0      0.01032  0.01023  0.08  100000    1023   99061  7892321  78.92
1985-1989      1-4      0.00035  0.00140  1.67   98977     139  395585  7793259  78.74
1985-1989      5-9      0.00017  0.00085  2.39   98839      84  493975  7397674  74.85
1985-1989     10-14     0.00015  0.00077  2.47   98755      76  493583  6903699  69.91
1985-1989     15-19     0.00030  0.00151  2.69   98679     149  493051  6410116  64.96
1985-1989     20-24     0.00039  0.00196  2.51   98530     193  492169  5917065  60.05
1985-1989     25-29     0.00039  0.00197  2.57   98337     194  491214  5424896  55.17
1985-1989     30-34     0.00051  0.00257  2.63   98143     252  490120  4933682  50.27
1985-1989     35-39     0.00071  0.00354  2.58   97891     346  488619  4443562  45.39
1985-1989     40-44     0.00110  0.00551  2.67   97545     537  486472  3954943  40.54
1985-1989     45-49     0.00165  0.00821  2.64   97008     796  483162  3468472  35.75
1985-1989     50-54     0.00273  0.01358  2.67   96212    1306  478015  2985309  31.03
1985-1989     55-59     0.00437  0.02161  2.66   94905    2051  469737  2507294  26.42
1985-1989     60-64     0.00733  0.03605  2.70   92854    3348  456568  2037557  21.94
1985-1989     65-69     0.01394  0.06759  2.74   89507    6050  433855  1580988  17.66
1985-1989     70-74     0.02653  0.12493  2.67   83457   10426  393016  1147133  13.75
1985-1989     75-79     0.04984  0.22314  2.66   73031   16296  326963   754117  10.33
1985-1989     80-84     0.08967  0.36681  2.52   56735   20811  232071   427154   7.53
