Year          Age         mx       qx    ax      lx      dx      Lx       Tx     ex
 1981-1984        0      0.01563  0.01541  0.09  100000    1541   98593  7344724  73.45
1981-1984      1-4      0.00045  0.00180  1.78   98459     178  393442  7246131  73.60
1981-1984      5-9      0.00028  0.00140  2.55   98281     138  491069  6852689  69.73
1981-1984     10-14     0.00032  0.00161  2.71   98144     158  490357  6361620  64.82
1981-1984     15-19     0.00086  0.00428  2.83   97986     420  489018  5871262  59.92
1981-1984     20-24     0.00119  0.00596  2.49   97566     581  486373  5382245  55.17
1981-1984     25-29     0.00107  0.00532  2.44   96985     516  483606  4895872  50.48
1981-1984     30-34     0.00110  0.00549  2.52   96469     529  481032  4412266  45.74
1981-1984     35-39     0.00142  0.00705  2.61   95939     677  478080  3931234  40.98
1981-1984     40-44     0.00206  0.01026  2.63   95263     978  473997  3453154  36.25
1981-1984     45-49     0.00329  0.01631  2.68   94285    1538  467859  2979156  31.60
1981-1984     50-54     0.00566  0.02792  2.67   92747    2590  457705  2511297  27.08
1981-1984     55-59     0.00991  0.04846  2.69   90157    4369  440676  2053593  22.78
1981-1984     60-64     0.01624  0.07823  2.66   85789    6711  413235  1612917  18.80
1981-1984     65-69     0.02608  0.12285  2.65   79077    9715  372558  1199682  15.17
1981-1984     70-74     0.04214  0.19145  2.61   69363   13280  315094   827124  11.92
1981-1984     75-79     0.06832  0.29290  2.57   56083   16427  240455   512030   9.13
1981-1984     80-84     0.10801  0.42389  2.46   39656   16810  155633   271575   6.85
1981-1984     85-89     0.16576  0.57526  2.34   22846   13143   79288   115942   5.07
1981-1984     90-94     0.24052  0.70908  2.11    9704    6881   28608    36654   3.78
1981-1984     95-99     0.33500  0.82906  1.95    2823    2340    6986     8047   2.85
1981-1984    100-104    0.44604  0.90728  1.73     483     438     982     1060   2.20
1981-1984    105-109    0.56311  0.95161  1.52      45      43      76       79   1.76
1981-1984    110+       0.65699  1.00000  1.52       2       2       3        3   1.52
1985-1989        0      0.01287  0.01272  0.08  100000    1272   98830  7398357  73.98
1985-1989      1-4      0.00044  0.00175  1.75   98728     172  394526  7299527  73.94
1985-1989      5-9      0.00022  0.00111  2.48   98556     110  492505  6905002  70.06
1985-1989     10-14     0.00023  0.00116  2.79   98447     114  491982  6412496  65.14
1985-1989     15-19     0.00077  0.00385  2.88   98333     379  490861  5920514  60.21
1985-1989     20-24     0.00126  0.00627  2.55   97954     614  488262  5429653  55.43
1985-1989     25-29     0.00110  0.00549  2.48   97340     534  485353  4941391  50.76
1985-1989     30-34     0.00114  0.00570  2.54   96805     551  482668  4456037  46.03
1985-1989     35-39     0.00142  0.00708  2.64   96254     681  479662  3973370  41.28
1985-1989     40-44     0.00211  0.01049  2.69   95573    1003  475542  3493707  36.56
1985-1989     45-49     0.00332  0.01650  2.65   94570    1560  469178  3018166  31.91
1985-1989     50-54     0.00532  0.02628  2.69   93010    2444  459391  2548988  27.41
1985-1989     55-59     0.00915  0.04480  2.70   90565    4058  443489  2089596  23.07
