"","Year","Cause","Age","Female","Male"
"2190",1990,1,Total,11512,16712
"2190",1990,1,0,1624,2078
"2190",1990,1,1,307,357
"2190",1990,1,2,136,147
"2190",1990,1,3,75,92
"2190",1990,1,4,61,59
"2190",1990,1,5 - 9,160,203
"2190",1990,1,10 - 14,162,221
"2190",1990,1,15 - 19,259,716
"2190",1990,1,20 - 24,269,1023
"2190",1990,1,25 - 29,221,922
"2190",1990,1,30 - 34,226,765
"2190",1990,1,35 - 39,274,702
"2190",1990,1,40 - 44,306,690
"2190",1990,1,45 - 49,373,695
"2190",1990,1,50 - 54,433,770
"2190",1990,1,55 - 59,523,770
"2190",1990,1,60 - 64,658,903
"2190",1990,1,65 - 69,760,975
"2190",1990,1,70 - 74,850,1020
"2190",1990,1,75 - 79,999,1118
"2190",1990,1,80 - 84,1010,1011
"2190",1990,1,85 - 89,1724,1255
"2190",1990,1,90 - 94,0,0
"2190",1990,1,95+,0,0
"2190",1990,1,UNK,102,220
"2190",1990,2,Total,897,1185
"2190",1990,2,0,356,457
"2190",1990,2,1,107,113
"2190",1990,2,2,40,35
"2190",1990,2,3,26,18
"2190",1990,2,4,16,8
"2190",1990,2,5 - 9,28,30
"2190",1990,2,10 - 14,15,17
"2190",1990,2,15 - 19,17,13
"2190",1990,2,20 - 24,17,17
"2190",1990,2,25 - 29,10,17
"2190",1990,2,30 - 34,3,15
"2190",1990,2,35 - 39,12,20
"2190",1990,2,40 - 44,5,17
"2190",1990,2,45 - 49,13,17
"2190",1990,2,50 - 54,15,28
"2190",1990,2,55 - 59,21,40
"2190",1990,2,60 - 64,22,45
"2190",1990,2,65 - 69,27,51
"2190",1990,2,70 - 74,25,53
"2190",1990,2,75 - 79,40,68
"2190",1990,2,80 - 84,39,46
"2190",1990,2,85 - 89,42,49
"2190",1990,2,90 - 94,0,0
"2190",1990,2,95+,0,0
"2190",1990,2,UNK,1,11
"2190",1990,3,Total,1152,720
"2190",1990,3,0,3,4
"2190",1990,3,1,1,1
"2190",1990,3,2,3,2
"2190",1990,3,3,2,5
"2190",1990,3,4,0,1
"2190",1990,3,5 - 9,9,4
"2190",1990,3,10 - 14,3,15
"2190",1990,3,15 - 19,11,14
"2190",1990,3,20 - 24,17,12
"2190",1990,3,25 - 29,19,12
"2190",1990,3,30 - 34,41,10
"2190",1990,3,35 - 39,58,21
"2190",1990,3,40 - 44,68,16
"2190",1990,3,45 - 49,99,33
"2190",1990,3,50 - 54,113,42
"2190",1990,3,55 - 59,114,48
"2190",1990,3,60 - 64,122,81
"2190",1990,3,65 - 69,105,98
"2190",1990,3,70 - 74,110,93
"2190",1990,3,75 - 79,109,83
"2190",1990,3,80 - 84,68,67
"2190",1990,3,85 - 89,62,50
"2190",1990,3,90 - 94,0,0
"2190",1990,3,95+,0,0
"2190",1990,3,UNK,15,8
"2190",1990,4,Total,2362,2411
"2190",1990,4,0,21,38
"2190",1990,4,1,11,10
"2190",1990,4,2,4,2
"2190",1990,4,3,4,2
"2190",1990,4,4,2,1
"2190",1990,4,5 - 9,11,12
"2190",1990,4,10 - 14,19,17
"2190",1990,4,15 - 19,29,32
"2190",1990,4,20 - 24,27,32
"2190",1990,4,25 - 29,37,43
"2190",1990,4,30 - 34,47,63
"2190",1990,4,35 - 39,29,67
"2190",1990,4,40 - 44,58,77
"2190",1990,4,45 - 49,88,84
"2190",1990,4,50 - 54,96,128
"2190",1990,4,55 - 59,136,133
"2190",1990,4,60 - 64,163,198
"2190",1990,4,65 - 69,215,269
"2190",1990,4,70 - 74,256,273
"2190",1990,4,75 - 79,301,339
"2190",1990,4,80 - 84,325,273
"2190",1990,4,85 - 89,459,293
"2190",1990,4,90 - 94,0,0
"2190",1990,4,95+,0,0
"2190",1990,4,UNK,24,25
"2190",1990,5,Total,2562,2466
"2190",1990,5,0,35,44
"2190",1990,5,1,75,88
