Year,Age,mx,qx,lx,Lx,Tx,ex,Country,Sex
1914,0,0.20068264,0.17689747,100000,88148,3809836,38.098351,Argentina,M
1914,1,0.026367931,0.098588079,82311,307753,3721688,45.215355,Argentina,M
1914,5,0.002836221,0.014071353,74196,368107,3413935,46.012722,Argentina,M
1914,10,0.004815225,0.023801066,73152,361579,3045829,41.63731,Argentina,M
1914,15,0.006983982,0.034344248,71411,351166,2684250,37.589096,Argentina,M
1914,20,0.009192264,0.044969231,68958,337347,2333085,33.833508,Argentina,M
1914,25,0.011670875,0.056764401,65857,320313,1995738,30.30419,Argentina,M
1914,30,0.014240272,0.068848357,62119,300329,1675426,26.971441,Argentina,M
1914,35,0.01725754,0.082855962,57842,277707,1375098,23.773439,Argentina,M
1914,40,0.021665953,0.10297523,53050,252136,1097391,20.686275,Argentina,M
1914,45,0.027744206,0.13006079,47587,223079,845256,17.762516,Argentina,M
1914,50,0.036064163,0.1659566,41398,190499,622177,15.029396,Argentina,M
1914,55,0.048412036,0.2168631,34528,154666,431679,12.502578,Argentina,M
1914,60,0.065626219,0.28348187,27040,116801,277014,10.24476,Argentina,M
1914,65,0.089714028,0.36909825,19375,79709,160213,8.2693176,Argentina,M
1914,70,0.12197879,0.4717806,12224,47277,80504,6.5860543,Argentina,M
1914,75,0.16792265,0.59135747,6457,22738,33227,5.1462097,Argentina,M
1914,80,0.2243073,0.71857977,2639,8453,10490,3.9756103,Argentina,M
1914,85,0.36450586,1,743,2038,2038,2.7434402,Argentina,M
1953,0,0.072955251,0.06914074,100000,94772,5966237,59.662369,Argentina,M
1953,1,0.004672302,0.018468706,93086,367951,5871466,63.075756,Argentina,M
1953,5,0.000947995,0.00472765,91367,455646,5503515,60.23542,Argentina,M
1953,10,0.001248774,0.006225211,90935,453316,5047869,55.510857,Argentina,M
1953,15,0.001635798,0.008147005,90369,450077,4594554,50.842304,Argentina,M
1953,20,0.002057489,0.010236896,89633,445961,4144477,46.23856,Argentina,M
1953,25,0.002632545,0.013080086,88715,440790,3698517,41.689907,Argentina,M
1953,30,0.003442333,0.017070632,87555,434186,3257727,37.207981,Argentina,M
1953,35,0.00466544,0.023068897,86060,425535,2823542,32.809021,Argentina,M
1953,40,0.006733398,0.033131577,84075,413688,2398007,28.522366,Argentina,M
1953,45,0.009991544,0.048787806,81290,396928,1984319,24.410645,Argentina,M
1953,50,0.014556898,0.070327491,77324,373565,1587392,20.529316,Argentina,M
1953,55,0.021428514,0.10190191,71886,341846,1213827,16.885626,Argentina,M
1953,60,0.032677285,0.15150461,64560,299326,871982,13.506532,Argentina,M
