"","Year","Cause","Age","Female","Male"
"2025",1990,1,Total,176,222
"2025",1990,1,0,10,5
"2025",1990,1,1,0,0
"2025",1990,1,2,0,2
"2025",1990,1,3,0,0
"2025",1990,1,4,0,0
"2025",1990,1,5 - 9,1,1
"2025",1990,1,10 - 14,0,1
"2025",1990,1,15 - 19,1,0
"2025",1990,1,20 - 24,1,5
"2025",1990,1,25 - 29,3,3
"2025",1990,1,30 - 34,2,6
"2025",1990,1,35 - 39,1,5
"2025",1990,1,40 - 44,5,9
"2025",1990,1,45 - 49,5,7
"2025",1990,1,50 - 54,10,10
"2025",1990,1,55 - 59,9,13
"2025",1990,1,60 - 64,9,16
"2025",1990,1,65 - 69,16,21
"2025",1990,1,70 - 74,21,28
"2025",1990,1,75 - 79,23,33
"2025",1990,1,80 - 84,26,35
"2025",1990,1,85 - 89,18,14
"2025",1990,1,90 - 94,11,5
"2025",1990,1,95+,4,3
"2025",1990,1,UNK,0,0
"2025",1990,2,Total,3,2
"2025",1990,2,0,0,0
"2025",1990,2,1,0,0
"2025",1990,2,2,0,0
"2025",1990,2,3,0,0
"2025",1990,2,4,0,0
"2025",1990,2,5 - 9,0,0
"2025",1990,2,10 - 14,0,0
"2025",1990,2,15 - 19,0,0
"2025",1990,2,20 - 24,0,0
"2025",1990,2,25 - 29,0,0
"2025",1990,2,30 - 34,0,0
"2025",1990,2,35 - 39,0,0
"2025",1990,2,40 - 44,0,0
"2025",1990,2,45 - 49,1,0
"2025",1990,2,50 - 54,0,1
"2025",1990,2,55 - 59,0,1
"2025",1990,2,60 - 64,0,0
"2025",1990,2,65 - 69,2,0
"2025",1990,2,70 - 74,0,0
"2025",1990,2,75 - 79,0,0
"2025",1990,2,80 - 84,0,0
"2025",1990,2,85 - 89,0,0
"2025",1990,2,90 - 94,0,0
"2025",1990,2,95+,0,0
"2025",1990,2,UNK,0,0
"2025",1990,3,Total,35,44
"2025",1990,3,0,0,0
"2025",1990,3,1,0,0
"2025",1990,3,2,0,0
"2025",1990,3,3,0,0
"2025",1990,3,4,0,0
"2025",1990,3,5 - 9,0,0
"2025",1990,3,10 - 14,0,0
"2025",1990,3,15 - 19,0,0
"2025",1990,3,20 - 24,0,0
"2025",1990,3,25 - 29,0,0
"2025",1990,3,30 - 34,1,1
"2025",1990,3,35 - 39,0,0
"2025",1990,3,40 - 44,0,0
"2025",1990,3,45 - 49,2,1
"2025",1990,3,50 - 54,3,2
"2025",1990,3,55 - 59,1,1
"2025",1990,3,60 - 64,6,5
"2025",1990,3,65 - 69,3,6
"2025",1990,3,70 - 74,6,9
"2025",1990,3,75 - 79,4,7
"2025",1990,3,80 - 84,6,8
"2025",1990,3,85 - 89,3,2
"2025",1990,3,90 - 94,0,1
"2025",1990,3,95+,0,1
"2025",1990,3,UNK,0,0
"2025",1990,4,Total,57,78
"2025",1990,4,0,0,1
"2025",1990,4,1,0,0
"2025",1990,4,2,0,0
"2025",1990,4,3,0,0
"2025",1990,4,4,0,0
"2025",1990,4,5 - 9,1,0
"2025",1990,4,10 - 14,0,0
"2025",1990,4,15 - 19,0,0
"2025",1990,4,20 - 24,0,0
"2025",1990,4,25 - 29,0,1
"2025",1990,4,30 - 34,0,0
"2025",1990,4,35 - 39,0,2
"2025",1990,4,40 - 44,1,1
"2025",1990,4,45 - 49,1,2
"2025",1990,4,50 - 54,2,3
"2025",1990,4,55 - 59,2,7
"2025",1990,4,60 - 64,3,8
"2025",1990,4,65 - 69,7,7
