,X,Year,Cause,Category,Female.WHO,Female.INEGI,Difference,Relative difference,,Male.WHO,Male.INEGI,Difference,Relative difference
1,2310,1998,2,,8288,8186,102,1.23,,12699,12539,160,1.26
2,2310,1998,3,,28803,28593,210,0.73,,26424,26146,278,1.05
3,2310,1998,4,,50418,49846,572,1.13,,49283,48506,777,1.58
4,2310,1998,5,,3690,10125,-6435,-174.39,,3857,7282,-3425,-88.80
5,2310,1998,6,,675,664,11,1.63,,4971,4848,123,2.47
6,2310,1998,7,,3477,3434,43,1.24,,4177,4140,37,0.89
7,2310,1998,8,,31049,30816,233,0.75,,25726,25515,211,0.82
8,2310,1998,9,,13964,13852,112,0.80,,27755,27401,354,1.28
9,2310,1998,10,,5490,5440,50,0.91,,6145,6084,61,0.99
10,2310,1998,11,,13238,13200,38,0.29,,16683,16677,6,0.04
11,2310,1998,12,,19181,18979,202,1.05,,22344,22092,252,1.13
12,2310,1998,13,,9114,8852,262,2.87,,33248,32067,1181,3.55
13,2310,1998,14,,1531,1458,73,4.77,,12111,11696,415,3.43
14,2310,1999,2,,7498,7421,77,1.03,,11886,11749,137,1.15
15,2310,1999,3,,29410,29219,191,0.65,,26987,26782,205,0.76
16,2310,1999,4,,49723,49502,221,0.44,,48902,48402,500,1.02
17,2310,1999,5,,4742,10946,-6204,-130.83,,4715,7816,-3101,-65.77
18,2310,1999,6,,582,575,7,1.20,,4632,4521,111,2.40
19,2310,1999,7,,3215,3213,2,0.06,,4110,4089,21,0.51
20,2310,1999,8,,32681,32590,91,0.28,,26966,26873,93,0.34
21,2310,1999,9,,14139,14040,99,0.70,,27551,27268,283,1.03
22,2310,1999,10,,5198,5201,-3,-0.06,,5998,5986,12,0.20
23,2310,1999,11,,12632,12625,7,0.06,,16286,16260,26,0.16
24,2310,1999,12,,19015,18922,93,0.49,,22676,22545,131,0.58
25,2310,1999,13,,9348,9116,232,2.48,,32976,31952,1024,3.11
26,2310,1999,14,,1411,1353,58,4.11,,10827,10407,420,3.88
27,2310,2000,2,,7287,7262,25,0.34,,11312,11284,28,0.25
28,2310,2000,3,,29940,29811,129,0.43,,27841,27701,140,0.50
29,2310,2000,4,,49378,49098,280,0.57,,48272,47877,395,0.82
30,2310,2000,5,,4352,10150,-5798,-133.23,,4281,7145,-2864,-66.90
31,2310,2000,6,,585,583,2,0.34,,4419,4349,70,1.58
32,2310,2000,7,,3290,3278,12,0.36,,4154,4131,23,0.55
33,2310,2000,8,,32587,32556,31,0.10,,27215,27195,20,0.07
34,2310,2000,9,,14169,14122,47,0.33,,28031,27891,140,0.50
35,2310,2000,10,,5544,5520,24,0.43,,6410,6378,32,0.50
36,2310,2000,11,,12652,12711,-59,-0.47,,16258,16306,-48,-0.30
37,2310,2000,12,,17350,17278,72,0.41,,21186,21058,128,0.60
38,2310,2000,13,,8939,8729,210,2.35,,32463,31613,850,2.62
39,2310,2000,14,,1284,1244,40,3.12,,9442,9147,295,3.12
40,2310,2001,2,,7250,7224,26,0.36,,11179,11097,82,0.73
41,2310,2001,3,,30414,30357,57,0.19,,28249,28265,-16,-0.06
42,2310,2001,4,,49852,49783,69,0.14,,49337,49231,106,0.21
43,2310,2001,5,,4576,10302,-5726,-125.13,,4597,7489,-2892,-62.91
