"","Age","Cause","Contribution","Period1","Period2","Sex","Country","Sources","e01","e02","Cause.name","Country.name"
"1",0,2,0.0229218150522711,"1990-1995","1995-2000",1,2020,"CEPAL2004",67.5505500468887,68.4255168709827,"Infectious","ARGENTINA"
"22",10,3,0.00280053916816334,"1990-1995","1995-2000",1,2020,"CEPAL2004",67.5505500468887,68.4255168709827,"Neoplasms","ARGENTINA"
"43",25,4,0.0148614336833596,"1990-1995","1995-2000",1,2020,"CEPAL2004",67.5505500468887,68.4255168709827,"Circulatory","ARGENTINA"
"64",40,5,-0.0100285229122419,"1990-1995","1995-2000",1,2020,"CEPAL2004",67.5505500468887,68.4255168709827,"Abnormal","ARGENTINA"
"85",55,6,0.00244672683550754,"1990-1995","1995-2000",1,2020,"CEPAL2004",67.5505500468887,68.4255168709827,"Mental","ARGENTINA"
"106",70,7,-0.000340796772611486,"1990-1995","1995-2000",1,2020,"CEPAL2004",67.5505500468887,68.4255168709827,"Nervous","ARGENTINA"
"127",0,9,0.00216569075844088,"1990-1995","1995-2000",1,2020,"CEPAL2004",67.5505500468887,68.4255168709827,"Digestive","ARGENTINA"
"148",10,10,0.000163168364904201,"1990-1995","1995-2000",1,2020,"CEPAL2004",67.5505500468887,68.4255168709827,"Genitourinary","ARGENTINA"
"169",25,11,0.000252047180330077,"1990-1995","1995-2000",1,2020,"CEPAL2004",67.5505500468887,68.4255168709827,"Perinatal","ARGENTINA"
"190",40,12,-0.00522207475185801,"1990-1995","1995-2000",1,2020,"CEPAL2004",67.5505500468887,68.4255168709827,"Respiratory","ARGENTINA"
"211",55,13,0.00425318453504681,"1990-1995","1995-2000",1,2020,"CEPAL2004",67.5505500468887,68.4255168709827,"External","ARGENTINA"
"232",70,14,4.888924096233e-05,"1990-1995","1995-2000",1,2020,"CEPAL2004",67.5505500468887,68.4255168709827,"Homicide","ARGENTINA"
"253",0,2,0.0414122546684999,"1995-2000","2000-2005",1,2020,"CEPAL2004",68.4255168709827,69.2370949031109,"Infectious","ARGENTINA"
