"","Age","Cause","Contribution","Period1","Period2","Sex","Country","Sources","e01","e02","Cause.name","Country.name","dif","e01","e02","dif"
"1",0,2,0.0229218150522711,"1990-1995","1995-2000",1,2020,"CEPAL2004",67.5505500468887,68.4255168709827,"Infectious","ARGENTINA",0.874966824093988,73.2037329215335,73.8777230763153,0.673990154781848
"253",0,2,0.0414122546684999,"1995-2000","2000-2005",1,2020,"CEPAL2004",68.4255168709827,69.2370949031109,"Infectious","ARGENTINA",0.811578032128224,73.8777230763153,74.6354726544213,0.757749578105944
"505",0,2,0.0101193737764125,"2000-2005","2005-2010",1,2020,"CEPAL2004",69.2370949031109,69.9959178613187,"Infectious","ARGENTINA",0.758822958207816,74.6354726544213,75.2352088345802,0.599736180158899
"757",0,2,0.00827605682693973,"2005-2010","2010-2015",1,2020,"CEPAL2004",69.9959178613187,70.6945892064061,"Infectious","ARGENTINA",0.698671345087419,75.2352088345802,75.7720369939377,0.536828159357569
"2017",0,2,0.199692629957701,"1995-2000","2000-2005",1,2060,"CEPAL2004",59.4374402376187,61.0365376834355,"Infectious","BOLIVIA",1.59909744581681,62.9369491380955,64.7186456410229,1.78169650292735
"2521",0,2,0.165802141588734,"1990-1995","1995-2000",1,2070,"CEPAL2004",62.3868195522475,63.9790234966069,"Infectious","BRAZIL",1.59220394435943,69.0966725021784,70.4012221371867,1.30454963500831
"2773",0,2,0.10706839397579,"1995-2000","2000-2005",1,2070,"CEPAL2004",63.9790234966069,65.3169839869652,"Infectious","BRAZIL",1.33796049035823,70.4012221371867,71.5032623362857,1.10204019909898
"3025",0,2,0.0514233295218669,"2000-2005","2005-2010",1,2070,"CEPAL2004",65.3169839869652,66.6419714650567,"Infectious","BRAZIL",1.32498747809154,71.5032623362857,72.3837009653594,0.880438629073709
"3277",0,2,0.0345345272605206,"2005-2010","2010-2015",1,2070,"CEPAL2004",66.6419714650567,67.6135550055846,"Infectious","BRAZIL",0.971583540527888,72.3837009653594,73.1926615632437,0.808960597884351
"4537",0,2,0.0115177493898512,"1990-1995","1995-2000",1,2120,"CEPAL2004",69.8973699365959,70.8315143366235,"Infectious","CHILE",0.934144400027591,74.2766304953282,75.1590356610449,0.882405165716776
"4789",0,2,0.0136883922983127,"1995-2000","2000-2005",1,2120,"CEPAL2004",70.8315143366235,72.2542393349034,"Infectious","CHILE",1.42272499827988,75.1590356610449,76.3449977740707,1.18596211302577
"5041",0,2,0.00707970002896124,"2000-2005","2005-2010",1,2120,"CEPAL2004",72.2542393349034,72.7785110259422,"Infectious","CHILE",0.524271691038834,76.3449977740707,76.7596895290431,0.414691754972395
"5293",0,2,0.0014175543186551,"2005-2010","2010-2015",1,2120,"CEPAL2004",72.7785110259422,73.2455842142784,"Infectious","CHILE",0.467073188336229,76.7596895290431,77.1367537778302,0.377064248787121
"6553",0,2,0.116359551988293,"1990-1995","1995-2000",1,2130,"CEPAL2004",62.7547224349714,65.5824586400538,"Infectious","COLOMBIA",2.82773620508246,70.1764141425883,71.200918584364,1.02450444177576
"6805",0,2,0.061111952798389,"1995-2000","2000-2005",1,2130,"CEPAL2004",65.5824586400538,67.4166629277724,"Infectious","COLOMBIA",1.83420428771855,71.200918584364,72.110787226421,0.909868642056935
"7057",0,2,0.0527419589903488,"2000-2005","2005-2010",1,2130,"CEPAL2004",67.4166629277724,68.5408033481907,"Infectious","COLOMBIA",1.1241404204183,72.110787226421,72.9108240108423,0.800036784421323
"7309",0,2,0.0306042192309398,"2005-2010","2010-2015",1,2130,"CEPAL2004",68.5408033481907,69.1305046506609,"Infectious","COLOMBIA",0.589701302470189,72.9108240108423,73.6054237075974,0.694599696755077
"8569",0,2,0.0127769836353729,"1990-1995","1995-2000",1,2140,"CEPAL2004",71.6998832135152,72.3154131813342,"Infectious","COSTA RICA",0.615529967819072,75.0917594071969,75.6913163023255,0.599556895128586
"8821",0,2,0.0179842193997678,"1995-2000","2000-2005",1,2140,"CEPAL2004",72.3154131813342,72.8660979655745,"Infectious","COSTA RICA",0.550684784240303,75.6913163023255,76.1852507603577,0.4939344580322
"9073",0,2,0.00950552883385078,"2000-2005","2005-2010",1,2140,"CEPAL2004",72.8660979655745,73.3419601466032,"Infectious","COSTA RICA",0.475862181028717,76.1852507603577,76.5752694311975,0.390018670839765
"9325",0,2,0.00537847580843433,"2005-2010","2010-2015",1,2140,"CEPAL2004",73.3419601466032,73.7629822391649,"Infectious","COSTA RICA",0.421022092561671,76.5752694311975,76.9188338459353,0.34356441473787
"10585",0,2,0.038335869855671,"1990-1995","1995-2000",1,2150,"CEPAL2004",71.4092120577874,71.9176375676955,"Infectious","CUBA",0.508425509908065,74.1936185918026,74.7022853345646,0.508666742761989
"10837",0,2,0.0225877648305757,"1995-2000","2000-2005",1,2150,"CEPAL2004",71.9176375676955,72.3800937316946,"Infectious","CUBA",0.462456163999121,74.7022853345646,75.1418615259881,0.439576191423498
"11089",0,2,-0.00208913117286282,"2000-2005","2005-2010",1,2150,"CEPAL2004",72.3800937316946,72.7872740749789,"Infectious","CUBA",0.40718034328431,75.1418615259881,75.5546362437914,0.412774717803316
"11341",0,2,0.00910044731911773,"2005-2010","2010-2015",1,2150,"CEPAL2004",72.7872740749789,73.1676356728898,"Infectious","CUBA",0.380361597910877,75.5546362437914,75.9359883462516,0.381352102460198
"12601",0,2,0.267828093157869,"1990-1995","1995-2000",1,2180,"CEPAL2004",65.6686647861403,67.3367560121554,"Infectious","ECUADOR",1.66809122601514,69.7670400446587,71.7733493260548,2.00630928139611
"12853",0,2,0.094387237564744,"1995-2000","2000-2005",1,2180,"CEPAL2004",67.3367560121554,68.6607675311952,"Infectious","ECUADOR",1.32401151903984,71.7733493260548,73.4053800923352,1.63203076628032
"13105",0,2,0.0774184794042323,"2000-2005","2005-2010",1,2180,"CEPAL2004",68.6607675311952,69.3687091486074,"Infectious","ECUADOR",0.707941617412146,73.4053800923352,73.977157643842,0.571777551506813
"13357",0,2,0.0368325118855416,"2005-2010","2010-2015",1,2180,"CEPAL2004",69.3687091486074,70.0405521190235,"Infectious","ECUADOR",0.671842970416165,73.977157643842,74.5229110824618,0.545753438619812
"14617",0,2,0.0813214800021018,"1990-1995","1995-2000",1,2190,"CEPAL2004",62.3966535086307,65.1801935339739,"Infectious","EL SALVADOR",2.78354002534317,68.767185061306,69.9036754100063,1.13649034870026
"14869",0,2,0.183735425629335,"1995-2000","2000-2005",1,2190,"CEPAL2004",65.1801935339739,66.1876281523482,"Infectious","EL SALVADOR",1.00743461837435,69.9036754100063,70.8509479087009,0.94727249869463
"15121",0,2,0.104731732085601,"2000-2005","2005-2010",1,2190,"CEPAL2004",66.1876281523482,67.1408559406555,"Infectious","EL SALVADOR",0.953227788307274,70.8509479087009,71.7358280079172,0.884880099216304
"15373",0,2,0.062382496316184,"2005-2010","2010-2015",1,2190,"CEPAL2004",67.1408559406555,68.0341476358566,"Infectious","EL SALVADOR",0.893291695201142,71.7358280079172,72.5410433627074,0.805215354790164
"16633",0,2,0.170721536081947,"1990-1995","1995-2000",1,2250,"CEPAL2004",59.6202836529526,61.6572800691305,"Infectious","GUATEMALA",2.03699641617787,65.1425665850384,67.9082067460509,2.76564016101258
"16885",0,2,0.166675210760534,"1995-2000","2000-2005",1,2250,"CEPAL2004",61.6572800691305,63.8498086701669,"Infectious","GUATEMALA",2.19252860103635,67.9082067460509,69.9102993661789,2.00209262012798
"17137",0,2,0.101213526956697,"2000-2005","2005-2010",1,2250,"CEPAL2004",63.8498086701669,64.944064128461,"Infectious","GUATEMALA",1.09425545829411,69.9102993661789,70.9005663930214,0.990267026842503
"17389",0,2,0.12844003290491,"2005-2010","2010-2015",1,2250,"CEPAL2004",64.944064128461,65.9887694855896,"Infectious","GUATEMALA",1.04470535712863,70.9005663930214,71.8316861348697,0.931119741848264
"18649",0,2,-0.034949369590451,"1995-2000","2000-2005",1,2270,"CEPAL2004",55.2161288224846,57.0136646663381,"Infectious","HAITI",1.79753584385355,57.8901889750924,59.6680488183461,1.7778598432537
"19153",0,2,0.784238728160688,"1990-1995","2005-2010",1,2280,"CEPAL2004",63.9647937325904,67.6201027846712,"Infectious","HONDURAS",3.65530905208084,67.774313124181,71.2037120016952,3.42939887751419
"19405",0,2,0.0228788728728375,"2005-2010","2010-2015",1,2280,"CEPAL2004",67.6201027846712,68.4613313011317,"Infectious","HONDURAS",0.841228516460433,71.2037120016952,71.967373628784,0.763661627088752
"20161",0,2,0.14656321277748,"1990-1995","1995-2000",1,2310,"CEPAL2004",66.6381022458258,67.4606561283946,"Infectious","MEXICO",0.822553882568826,71.5176183263495,72.2186899627065,0.701071636357
"20413",0,2,0.0485817742077817,"1995-2000","2000-2005",1,2310,"CEPAL2004",67.4606561283946,68.2431179123209,"Infectious","MEXICO",0.782461783926294,72.2186899627065,72.8796983547348,0.661008392028322
"20665",0,2,0.0328931850954741,"2000-2005","2005-2010",1,2310,"CEPAL2004",68.2431179123209,68.9751257623786,"Infectious","MEXICO",0.732007850057656,72.8796983547348,73.4991438670848,0.619445512349984
"20917",0,2,0.0222917419755905,"2005-2010","2010-2015",1,2310,"CEPAL2004",68.9751257623786,69.6578232821296,"Infectious","MEXICO",0.682697519751017,73.4991438670848,74.0663064143746,0.567162547289783
"22177",0,2,0.619325565494486,"1990-1995","1995-2000",1,2340,"CEPAL2004",62.4334039872151,64.3644155440873,"Infectious","NICARAGUA",1.93101155687216,67.0803375919672,68.5139328625069,1.43359527053974
"22429",0,2,0.263771520818423,"1995-2000","2000-2005",1,2340,"CEPAL2004",64.3644155440873,65.6619793123655,"Infectious","NICARAGUA",1.2975637682782,68.5139328625069,69.7158006000815,1.20186773757457
"22681",0,2,0.070249256050594,"2000-2005","2005-2010",1,2340,"CEPAL2004",65.6619793123655,66.938761111991,"Infectious","NICARAGUA",1.27678179962555,69.7158006000815,70.8792100096212,1.16340940953972
"22933",0,2,0.0656059340707213,"2005-2010","2010-2015",1,2340,"CEPAL2004",66.938761111991,67.9493875578767,"Infectious","NICARAGUA",1.01062644588562,70.8792100096212,71.7911364819196,0.911926472298305
"24193",0,2,0.173700850291001,"1990-1995","1995-2000",1,2360,"CEPAL2004",65.4577456817601,66.4581351210429,"Infectious","PARAGUAY",1.00038943928278,69.3818549272447,70.2665488987639,0.884693971519141
