"","Cause","Period1","Period2","Sex","Country","Sources","Change","Contribution","Prop","Country.name","Cause.name","Change","Contribution","Prop"
"1",2,"1990-1995","1995-2000",1,2020,"CEPAL2004",0.874966824093988,-0.0708834884251353,-8.10127726825915,"ARGENTINA","Infectious",0.673990154781848,-0.0177087731596563,-2.62745279497268
"2",3,"1990-1995","1995-2000",1,2020,"CEPAL2004",0.874966824093988,0.140103640169157,16.0124517080098,"ARGENTINA","Neoplasms",0.673990154781848,0.0544091822007986,8.07269688062571
"3",4,"1990-1995","1995-2000",1,2020,"CEPAL2004",0.874966824093988,0.839548637256569,95.9520537393982,"ARGENTINA","Circulatory",0.673990154781848,0.596199535701046,88.4581965287044
"4",5,"1990-1995","1995-2000",1,2020,"CEPAL2004",0.874966824093988,-0.165030475546751,-18.8613409105696,"ARGENTINA","Abnormal",0.673990154781848,-0.106375741082468,-15.7829814467986
"5",6,"1990-1995","1995-2000",1,2020,"CEPAL2004",0.874966824093988,0.0142070873079477,1.62372868510288,"ARGENTINA","Mental",0.673990154781848,0.00119673032322099,0.177559021408604
"6",7,"1990-1995","1995-2000",1,2020,"CEPAL2004",0.874966824093988,0.0059955160042628,0.685227809691076,"ARGENTINA","Nervous",0.673990154781848,0.00726834453536714,1.07840514936301
"7",8,"1990-1995","1995-2000",1,2020,"CEPAL2004",0.874966824093988,0.052611776867436,6.01300248405584,"ARGENTINA","Endocrine",0.673990154781848,0.0362926648732042,5.38474703461375
"8",9,"1990-1995","1995-2000",1,2020,"CEPAL2004",0.874966824093988,0.0676752160422794,7.7346036648139,"ARGENTINA","Digestive",0.673990154781848,0.0375315948396298,5.56856722213959
"9",10,"1990-1995","1995-2000",1,2020,"CEPAL2004",0.874966824093988,0.0249355837773402,2.84988905758347,"ARGENTINA","Genitourinary",0.673990154781848,0.0229459766950424,3.40449731086493
"10",11,"1990-1995","1995-2000",1,2020,"CEPAL2004",0.874966824093988,0.102604603825899,11.7266850582757,"ARGENTINA","Perinatal",0.673990154781848,0.0722747752545339,10.7234170620678
"11",12,"1990-1995","1995-2000",1,2020,"CEPAL2004",0.874966824093988,-0.145212677798737,-16.5963638620358,"ARGENTINA","Respiratory",0.673990154781848,-0.101052389896969,-14.9931551937397
"12",13,"1990-1995","1995-2000",1,2020,"CEPAL2004",0.874966824093988,0.0191369754310991,2.18716583350632,"ARGENTINA","External",0.673990154781848,0.0532681994294519,7.9034091301665
"13",14,"1990-1995","1995-2000",1,2020,"CEPAL2004",0.874966824093988,-0.0122100933502142,-1.39549215055754,"ARGENTINA","Homicide",0.673990154781848,0.00111686391937041,0.165709233502366
"14",15,"1990-1995","1995-2000",1,2020,"CEPAL2004",0.874966824093988,0.00148452253283249,0.169666150984603,"ARGENTINA","Rest",0.673990154781848,0.0166231911492727,2.46638486205384
"15",2,"1995-2000","2000-2005",1,2020,"CEPAL2004",0.811578032128224,-0.00164932278377374,-0.203224177895584,"ARGENTINA","Infectious",0.757749578105944,0.0230751381357143,3.04521952930577
"16",3,"1995-2000","2000-2005",1,2020,"CEPAL2004",0.811578032128224,0.0452287887258467,5.57294393580885,"ARGENTINA","Neoplasms",0.757749578105944,0.0329011420383089,4.34195451755287
"17",4,"1995-2000","2000-2005",1,2020,"CEPAL2004",0.811578032128224,0.435072483575001,53.6082134251586,"ARGENTINA","Circulatory",0.757749578105944,0.341600260710588,45.0808909144424
"18",5,"1995-2000","2000-2005",1,2020,"CEPAL2004",0.811578032128224,-0.0939914040742006,-11.581314470492,"ARGENTINA","Abnormal",0.757749578105944,-0.0256756400066799,-3.38840703426826
"19",6,"1995-2000","2000-2005",1,2020,"CEPAL2004",0.811578032128224,0.0308780167196645,3.80468858166259,"ARGENTINA","Mental",0.757749578105944,0.0088805660237426,1.17196581566436
"20",7,"1995-2000","2000-2005",1,2020,"CEPAL2004",0.811578032128224,0.00427108106367536,0.526268688233857,"ARGENTINA","Nervous",0.757749578105944,0.00450002165262541,0.593866599553058
"21",8,"1995-2000","2000-2005",1,2020,"CEPAL2004",0.811578032128224,0.0736375828974272,9.07338296285883,"ARGENTINA","Endocrine",0.757749578105944,0.0497031679986587,6.55931318667254
"22",9,"1995-2000","2000-2005",1,2020,"CEPAL2004",0.811578032128224,0.037597216904429,4.63260652901567,"ARGENTINA","Digestive",0.757749578105944,0.0279556493969347,3.68929923614238
"23",10,"1995-2000","2000-2005",1,2020,"CEPAL2004",0.811578032128224,-0.0144726158307949,-1.78326855309809,"ARGENTINA","Genitourinary",0.757749578105944,-0.00527180157869,-0.695718180651092
"24",11,"1995-2000","2000-2005",1,2020,"CEPAL2004",0.811578032128224,0.290995427125154,35.8555081095613,"ARGENTINA","Perinatal",0.757749578105944,0.283084371267384,37.3585653422567
"25",12,"1995-2000","2000-2005",1,2020,"CEPAL2004",0.811578032128224,-0.0305042846776726,-3.75863853752675,"ARGENTINA","Respiratory",0.757749578105944,-0.0401923353000719,-5.30417125411483
"26",13,"1995-2000","2000-2005",1,2020,"CEPAL2004",0.811578032128224,0.118034125935416,14.5437802974893,"ARGENTINA","External",0.757749578105944,0.0650060119539219,8.57882522566488
"27",14,"1995-2000","2000-2005",1,2020,"CEPAL2004",0.811578032128224,-0.0765201701663711,-9.42856597112542,"ARGENTINA","Homicide",0.757749578105944,-0.006497395210438,-0.85745942962829
"28",15,"1995-2000","2000-2005",1,2020,"CEPAL2004",0.811578032128224,-0.00699889328558806,-0.862380819652629,"ARGENTINA","Rest",0.757749578105944,-0.00131957897606518,-0.174144468593909
"29",2,"2000-2005","2005-2010",1,2020,"CEPAL2004",0.758822958207816,0.0631458734027016,8.32155547215377,"ARGENTINA","Infectious",0.599736180158899,0.0449606273681479,7.49673420673664
"30",3,"2000-2005","2005-2010",1,2020,"CEPAL2004",0.758822958207816,0.0925426083860983,12.1955467194436,"ARGENTINA","Neoplasms",0.599736180158899,0.129438267342355,21.5825343917155
"31",4,"2000-2005","2005-2010",1,2020,"CEPAL2004",0.758822958207816,0.344494783002481,45.3985714686476,"ARGENTINA","Circulatory",0.599736180158899,0.245539212564497,40.9412039306086
"32",5,"2000-2005","2005-2010",1,2020,"CEPAL2004",0.758822958207816,-0.00933749469711541,-1.23052348326,"ARGENTINA","Abnormal",0.599736180158899,0.00958978399141596,1.59900041196033
"33",6,"2000-2005","2005-2010",1,2020,"CEPAL2004",0.758822958207816,0.00772848371810006,1.01848311710984,"ARGENTINA","Mental",0.599736180158899,0.00293317108339636,0.489076894213588
"34",7,"2000-2005","2005-2010",1,2020,"CEPAL2004",0.758822958207816,0.00616593662184133,0.812565902908896,"ARGENTINA","Nervous",0.599736180158899,0.00803440532785936,1.33965660129603
"35",8,"2000-2005","2005-2010",1,2020,"CEPAL2004",0.758822958207816,0.065573941153316,8.64153363364074,"ARGENTINA","Endocrine",0.599736180158899,0.0582681834631524,9.71563587304576
"36",9,"2000-2005","2005-2010",1,2020,"CEPAL2004",0.758822958207816,-0.0204644105285192,-2.69686233226943,"ARGENTINA","Digestive",0.599736180158899,0.00641295037607624,1.06929523150948
"37",10,"2000-2005","2005-2010",1,2020,"CEPAL2004",0.758822958207816,0.000356222388977896,0.0469440710938979,"ARGENTINA","Genitourinary",0.599736180158899,0.00389131723810317,0.648838166987386
"38",11,"2000-2005","2005-2010",1,2020,"CEPAL2004",0.758822958207816,0.0865149248908435,11.4012002345282,"ARGENTINA","Perinatal",0.599736180158899,0.0602251659533203,10.0419430986077
"39",12,"2000-2005","2005-2010",1,2020,"CEPAL2004",0.758822958207816,-0.0265494774341964,-3.49877097773911,"ARGENTINA","Respiratory",0.599736180158899,-0.0304671005193405,-5.08008379805739
"40",13,"2000-2005","2005-2010",1,2020,"CEPAL2004",0.758822958207816,0.0640937051210592,8.4464636220859,"ARGENTINA","External",0.599736180158899,0.0430628518902129,7.18029915734005
"41",14,"2000-2005","2005-2010",1,2020,"CEPAL2004",0.758822958207816,0.0869083578232934,11.4530480243446,"ARGENTINA","Homicide",0.599736180158899,0.0110626060848836,1.84457874159811
"42",15,"2000-2005","2005-2010",1,2020,"CEPAL2004",0.758822958207816,-0.0023504956410523,-0.309755472686764,"ARGENTINA","Rest",0.599736180158899,0.00678473799482466,1.13128709243905
"43",2,"2005-2010","2010-2015",1,2020,"CEPAL2004",0.698671345087419,0.0498348193906751,7.13279852409572,"ARGENTINA","Infectious",0.536828159357569,0.0373238068393841,6.95265443676615
"44",3,"2005-2010","2010-2015",1,2020,"CEPAL2004",0.698671345087419,0.13582848335487,19.4409695359518,"ARGENTINA","Neoplasms",0.536828159357569,0.107664501430437,20.0556732268442
"45",4,"2005-2010","2010-2015",1,2020,"CEPAL2004",0.698671345087419,0.180259656811545,25.800350633958,"ARGENTINA","Circulatory",0.536828159357569,0.151540650196666,28.2288936515583
"46",5,"2005-2010","2010-2015",1,2020,"CEPAL2004",0.698671345087419,0.0802399865473268,11.4846539952611,"ARGENTINA","Abnormal",0.536828159357569,0.0433906645943866,8.0827847492786
"47",6,"2005-2010","2010-2015",1,2020,"CEPAL2004",0.698671345087419,0.0154055876711046,2.20498347032925,"ARGENTINA","Mental",0.536828159357569,0.00169244248667193,0.315267084479566
"48",7,"2005-2010","2010-2015",1,2020,"CEPAL2004",0.698671345087419,0.00799911658449376,1.1449040583585,"ARGENTINA","Nervous",0.536828159357569,0.0138323244736819,2.57667639682599
"49",8,"2005-2010","2010-2015",1,2020,"CEPAL2004",0.698671345087419,0.0311983300397295,4.465379932796,"ARGENTINA","Endocrine",0.536828159357569,0.0407338395825934,7.58787311592229
"50",9,"2005-2010","2010-2015",1,2020,"CEPAL2004",0.698671345087419,-0.00318179643939751,-0.45540674621476,"ARGENTINA","Digestive",0.536828159357569,0.0124086760416848,2.3114800938413
"51",10,"2005-2010","2010-2015",1,2020,"CEPAL2004",0.698671345087419,0.0010936549873993,0.156533539709212,"ARGENTINA","Genitourinary",0.536828159357569,0.00360302611805512,0.671169359365746
"52",11,"2005-2010","2010-2015",1,2020,"CEPAL2004",0.698671345087419,0.0753158209319647,10.7798640178296,"ARGENTINA","Perinatal",0.536828159357569,0.0520102505396188,9.68843560700325
"53",12,"2005-2010","2010-2015",1,2020,"CEPAL2004",0.698671345087419,0.0442844991342534,6.33838777640329,"ARGENTINA","Respiratory",0.536828159357569,0.0271779583915225,5.06269239379074
"54",13,"2005-2010","2010-2015",1,2020,"CEPAL2004",0.698671345087419,0.0829468268497908,11.8720808335731,"ARGENTINA","External",0.536828159357569,0.0369875269504577,6.89001243800648
"55",14,"2005-2010","2010-2015",1,2020,"CEPAL2004",0.698671345087419,0.00738450958525326,1.05693608835915,"ARGENTINA","Homicide",0.536828159357569,0.00270007346182833,0.502967926470093
"56",15,"2005-2010","2010-2015",1,2020,"CEPAL2004",0.698671345087419,-0.00993815036160165,-1.42243566041172,"ARGENTINA","Rest",0.536828159357569,0.0057624182505843,1.07341951984789
"57",2,"1995-2000","2000-2005",1,2060,"CEPAL2004",1.59909744581681,0.198467299748788,12.4112073512451,"BOLIVIA","Infectious",1.78169650292735,0.227899154519179,12.7911321678377
"58",3,"1995-2000","2000-2005",1,2060,"CEPAL2004",1.59909744581681,-0.0952337081858445,-5.95546621845798,"BOLIVIA","Neoplasms",1.78169650292735,0.0996605580580403,5.59357656561017
"59",4,"1995-2000","2000-2005",1,2060,"CEPAL2004",1.59909744581681,-0.00534032814243764,-0.333958893900292,"BOLIVIA","Circulatory",1.78169650292735,0.0470446781034042,2.64044286028003
"60",5,"1995-2000","2000-2005",1,2060,"CEPAL2004",1.59909744581681,0.886367038453157,55.429207317657,"BOLIVIA","Abnormal",1.78169650292735,1.09224782890471,61.3038094372486
"61",6,"1995-2000","2000-2005",1,2060,"CEPAL2004",1.59909744581681,0.0435173201895562,2.72136762543122,"BOLIVIA","Mental",1.78169650292735,-0.00342880246063598,-0.192445933131844
"62",7,"1995-2000","2000-2005",1,2060,"CEPAL2004",1.59909744581681,0.0865241247555266,5.41081001547911,"BOLIVIA","Nervous",1.78169650292735,0.0376616670373063,2.11380933708
"63",8,"1995-2000","2000-2005",1,2060,"CEPAL2004",1.59909744581681,0.0957994302557554,5.99084380419491,"BOLIVIA","Endocrine",1.78169650292735,0.146344671728165,8.21378228490199
"64",9,"1995-2000","2000-2005",1,2060,"CEPAL2004",1.59909744581681,0.00411143887357531,0.257109964394647,"BOLIVIA","Digestive",1.78169650292735,-0.0319091101584731,-1.79093970864544
"65",10,"1995-2000","2000-2005",1,2060,"CEPAL2004",1.59909744581681,-0.0125188080550414,-0.782867115934069,"BOLIVIA","Genitourinary",1.78169650292735,0.0034842308807689,0.195556924259786
"66",11,"1995-2000","2000-2005",1,2060,"CEPAL2004",1.59909744581681,-0.0149262258311159,-0.933415650819934,"BOLIVIA","Perinatal",1.78169650292735,-0.0163627858147325,-0.918382327621353
"67",12,"1995-2000","2000-2005",1,2060,"CEPAL2004",1.59909744581681,0.218365015550267,13.6555164991041,"BOLIVIA","Respiratory",1.78169650292735,0.121971046927658,6.84578135093477
"68",13,"1995-2000","2000-2005",1,2060,"CEPAL2004",1.59909744581681,0.174459137095896,10.909850275371,"BOLIVIA","External",1.78169650292735,0.0288980592249266,1.62194061544414
"69",14,"1995-2000","2000-2005",1,2060,"CEPAL2004",1.59909744581681,-0.00104792216477458,-0.0655321017187484,"BOLIVIA","Homicide",1.78169650292735,-0.00455212956715141,-0.255494106862319
"70",15,"1995-2000","2000-2005",1,2060,"CEPAL2004",1.59909744581681,0.0205536332735058,1.28532712795418,"BOLIVIA","Rest",1.78169650292735,0.0327374355441846,1.83743053266347
"71",2,"1990-1995","1995-2000",1,2070,"CEPAL2004",1.59220394435943,0.0511904904527176,3.21507119951976,"BRAZIL","Infectious",1.30454963500831,0.100550687691496,7.70769352067275
"72",3,"1990-1995","1995-2000",1,2070,"CEPAL2004",1.59220394435943,0.0100255903089099,0.629667470956014,"BRAZIL","Neoplasms",1.30454963500831,0.0212367089130564,1.62789581501213
"73",4,"1990-1995","1995-2000",1,2070,"CEPAL2004",1.59220394435943,0.340578216485406,21.3903638219178,"BRAZIL","Circulatory",1.30454963500831,0.30868245746209,23.6619940842744
"74",5,"1990-1995","1995-2000",1,2070,"CEPAL2004",1.59220394435943,0.615817857099412,38.6770714443348,"BRAZIL","Abnormal",1.30454963500831,0.526495643046967,40.3584217049443
"75",6,"1990-1995","1995-2000",1,2070,"CEPAL2004",1.59220394435943,-0.00163786930773994,-0.102868059933044,"BRAZIL","Mental",1.30454963500831,-0.00157305809473468,-0.120582464056621
"76",7,"1990-1995","1995-2000",1,2070,"CEPAL2004",1.59220394435943,0.0303024673037154,1.90317750505929,"BRAZIL","Nervous",1.30454963500831,0.0195671264190139,1.49991429179229
"77",8,"1990-1995","1995-2000",1,2070,"CEPAL2004",1.59220394435943,0.260556860652854,16.3645405838811,"BRAZIL","Endocrine",1.30454963500831,0.0753465217362983,5.7756730533153
"78",9,"1990-1995","1995-2000",1,2070,"CEPAL2004",1.59220394435943,0.0261913754938393,1.6449761719675,"BRAZIL","Digestive",1.30454963500831,0.0211157439962271,1.61862327270457
"79",10,"1990-1995","1995-2000",1,2070,"CEPAL2004",1.59220394435943,0.0203824433786026,1.2801402389945,"BRAZIL","Genitourinary",1.30454963500831,0.0204925658239669,1.57085367041909
"80",11,"1990-1995","1995-2000",1,2070,"CEPAL2004",1.59220394435943,0.0542630974921512,3.40804943263611,"BRAZIL","Perinatal",1.30454963500831,0.0346635620247226,2.65712864382517
"81",12,"1990-1995","1995-2000",1,2070,"CEPAL2004",1.59220394435943,0.164684151222093,10.3431568427842,"BRAZIL","Respiratory",1.30454963500831,0.109202538029556,8.37089943525686
"82",13,"1990-1995","1995-2000",1,2070,"CEPAL2004",1.59220394435943,0.167235044357135,10.5033682996192,"BRAZIL","External",1.30454963500831,0.0700757792781952,5.37164530943651
"83",14,"1990-1995","1995-2000",1,2070,"CEPAL2004",1.59220394435943,-0.134031613204074,-8.41799278785217,"BRAZIL","Homicide",1.30454963500831,-0.0168897727761881,-1.29468226604352
"84",15,"1990-1995","1995-2000",1,2070,"CEPAL2004",1.59220394435943,-0.0133541673755968,-0.838722163885192,"BRAZIL","Rest",1.30454963500831,0.0155831314576509,1.1945219284471
"85",2,"1995-2000","2000-2005",1,2070,"CEPAL2004",1.33796049035823,0.200493109637415,14.9849798317838,"BRAZIL","Infectious",1.10204019909898,0.126990443869441,11.5232133975936
"86",3,"1995-2000","2000-2005",1,2070,"CEPAL2004",1.33796049035823,-0.0267201088715845,-1.99707757173236,"BRAZIL","Neoplasms",1.10204019909898,-0.0530060600412721,-4.80981184575749
"87",4,"1995-2000","2000-2005",1,2070,"CEPAL2004",1.33796049035823,0.265744317743667,19.8618957479466,"BRAZIL","Circulatory",1.10204019909898,0.266716733496638,24.2020875204647
"88",5,"1995-2000","2000-2005",1,2070,"CEPAL2004",1.33796049035823,0.369981563637477,27.6526523992063,"BRAZIL","Abnormal",1.10204019909898,0.369550410232493,33.5332967467643
"89",6,"1995-2000","2000-2005",1,2070,"CEPAL2004",1.33796049035823,-0.0178840486720946,-1.33666493151127,"BRAZIL","Mental",1.10204019909898,-0.00275927520046078,-0.250378815828746
"90",7,"1995-2000","2000-2005",1,2070,"CEPAL2004",1.33796049035823,0.0180599695122081,1.34981336462131,"BRAZIL","Nervous",1.10204019909898,0.0083095222976134,0.754012630792162
"91",8,"1995-2000","2000-2005",1,2070,"CEPAL2004",1.33796049035823,0.0599089360814422,4.47763117918393,"BRAZIL","Endocrine",1.10204019909898,0.0274551621176057,2.49130314302989
"92",9,"1995-2000","2000-2005",1,2070,"CEPAL2004",1.33796049035823,0.0174795255010608,1.30643061787129,"BRAZIL","Digestive",1.10204019909898,0.00810974412508313,0.735884601279845
"93",10,"1995-2000","2000-2005",1,2070,"CEPAL2004",1.33796049035823,0.00858646989662051,0.641758105601575,"BRAZIL","Genitourinary",1.10204019909898,0.00474969701304609,0.430991266646118
"94",11,"1995-2000","2000-2005",1,2070,"CEPAL2004",1.33796049035823,0.147548148751246,11.0278404941345,"BRAZIL","Perinatal",1.10204019909898,0.120134976966913,10.9011429043273
"95",12,"1995-2000","2000-2005",1,2070,"CEPAL2004",1.33796049035823,0.19638778883026,14.6781455988793,"BRAZIL","Respiratory",1.10204019909898,0.147550913538211,13.3888866902357
"96",13,"1995-2000","2000-2005",1,2070,"CEPAL2004",1.33796049035823,0.206970418823502,15.4690979528168,"BRAZIL","External",1.10204019909898,0.0854519906824254,7.75398127511958
"97",14,"1995-2000","2000-2005",1,2070,"CEPAL2004",1.33796049035823,-0.104535071617412,-7.81301633125384,"BRAZIL","Homicide",1.10204019909898,-0.00606009208707879,-0.549897552923521
"98",15,"1995-2000","2000-2005",1,2070,"CEPAL2004",1.33796049035823,-0.00406052889557164,-0.303486457547372,"BRAZIL","Rest",1.10204019909898,-0.00115396791168298,-0.104711961743905
"99",2,"2000-2005","2005-2010",1,2070,"CEPAL2004",1.32498747809154,0.133497579935268,10.0753842691066,"BRAZIL","Infectious",0.880438629073709,0.0788900898755271,8.96031674104597
"100",3,"2000-2005","2005-2010",1,2070,"CEPAL2004",1.32498747809154,-0.0103084682868647,-0.778004959089321,"BRAZIL","Neoplasms",0.880438629073709,-0.0434308949092583,-4.93287021662726
"101",4,"2000-2005","2005-2010",1,2070,"CEPAL2004",1.32498747809154,0.200904160185538,15.162721422463,"BRAZIL","Circulatory",0.880438629073709,0.196821656106156,22.3549546336044
"102",5,"2000-2005","2005-2010",1,2070,"CEPAL2004",1.32498747809154,0.580406648130609,43.8046893066946,"BRAZIL","Abnormal",0.880438629073709,0.492635834968546,55.953455323381
"103",6,"2000-2005","2005-2010",1,2070,"CEPAL2004",1.32498747809154,-0.0174470711351223,-1.31677252982438,"BRAZIL","Mental",0.880438629073709,-0.0108101270510962,-1.22781153553761
"104",7,"2000-2005","2005-2010",1,2070,"CEPAL2004",1.32498747809154,-0.0170344896126097,-1.28563400743571,"BRAZIL","Nervous",0.880438629073709,-0.0168710829642071,-1.91621339717418
"105",8,"2000-2005","2005-2010",1,2070,"CEPAL2004",1.32498747809154,0.0133666907617534,1.00881638375981,"BRAZIL","Endocrine",0.880438629073709,0.0200848673337305,2.28123422467973
"106",9,"2000-2005","2005-2010",1,2070,"CEPAL2004",1.32498747809154,0.0353681231373513,2.66931753863018,"BRAZIL","Digestive",0.880438629073709,0.00450161125105087,0.511291883658821
"107",10,"2000-2005","2005-2010",1,2070,"CEPAL2004",1.32498747809154,0.00224226560779246,0.169229192340906,"BRAZIL","Genitourinary",0.880438629073709,-0.00135291889977025,-0.153664191358077
"108",11,"2000-2005","2005-2010",1,2070,"CEPAL2004",1.32498747809154,0.057391147653313,4.33144830440034,"BRAZIL","Perinatal",0.880438629073709,0.0678150208735255,7.7024131647736
"109",12,"2000-2005","2005-2010",1,2070,"CEPAL2004",1.32498747809154,0.11189993251583,8.44535773855055,"BRAZIL","Respiratory",0.880438629073709,0.0738720982482924,8.39037450299196
