"","Year","Cause","Age","Female","Male"
"4140",1990,1,Total,44719,49433
"4140",1990,1,0,476,517
"4140",1990,1,1,27,27
"4140",1990,1,2,11,27
"4140",1990,1,3,6,11
"4140",1990,1,4,11,14
"4140",1990,1,5 - 9,58,86
"4140",1990,1,10 - 14,50,96
"4140",1990,1,15 - 19,100,295
"4140",1990,1,20 - 24,148,508
"4140",1990,1,25 - 29,175,373
"4140",1990,1,30 - 34,189,395
"4140",1990,1,35 - 39,218,491
"4140",1990,1,40 - 44,344,753
"4140",1990,1,45 - 49,492,856
"4140",1990,1,50 - 54,799,1655
"4140",1990,1,55 - 59,1342,2777
"4140",1990,1,60 - 64,2150,4253
"4140",1990,1,65 - 69,2891,4762
"4140",1990,1,70 - 74,4600,5818
"4140",1990,1,75 - 79,7837,8360
"4140",1990,1,80 - 84,9563,8202
"4140",1990,1,85 - 89,13232,9157
"4140",1990,1,90 - 94,0,0
"4140",1990,1,95+,0,0
"4140",1990,1,UNK,0,0
"4140",1990,2,Total,268,336
"4140",1990,2,0,0,0
"4140",1990,2,1,0,0
"4140",1990,2,2,0,0
"4140",1990,2,3,0,0
"4140",1990,2,4,0,0
"4140",1990,2,5 - 9,0,2
"4140",1990,2,10 - 14,0,0
"4140",1990,2,15 - 19,2,1
"4140",1990,2,20 - 24,1,1
"4140",1990,2,25 - 29,3,2
"4140",1990,2,30 - 34,2,2
"4140",1990,2,35 - 39,1,5
"4140",1990,2,40 - 44,1,7
"4140",1990,2,45 - 49,5,6
"4140",1990,2,50 - 54,5,12
"4140",1990,2,55 - 59,7,12
"4140",1990,2,60 - 64,17,24
"4140",1990,2,65 - 69,22,30
"4140",1990,2,70 - 74,22,43
"4140",1990,2,75 - 79,51,75
"4140",1990,2,80 - 84,71,58
"4140",1990,2,85 - 89,58,56
"4140",1990,2,90 - 94,0,0
"4140",1990,2,95+,0,0
"4140",1990,2,UNK,0,0
"4140",1990,3,Total,7412,12054
"4140",1990,3,0,4,5
"4140",1990,3,1,1,1
"4140",1990,3,2,3,1
"4140",1990,3,3,3,1
"4140",1990,3,4,4,2
"4140",1990,3,5 - 9,11,16
"4140",1990,3,10 - 14,12,15
"4140",1990,3,15 - 19,14,29
"4140",1990,3,20 - 24,16,31
"4140",1990,3,25 - 29,32,30
"4140",1990,3,30 - 34,63,49
"4140",1990,3,35 - 39,96,96
"4140",1990,3,40 - 44,171,181
"4140",1990,3,45 - 49,278,278
"4140",1990,3,50 - 54,456,590
"4140",1990,3,55 - 59,646,1013
"4140",1990,3,60 - 64,835,1608
"4140",1990,3,65 - 69,903,1718
"4140",1990,3,70 - 74,972,1823
"4140",1990,3,75 - 79,1230,2107
"4140",1990,3,80 - 84,934,1511
"4140",1990,3,85 - 89,728,949
"4140",1990,3,90 - 94,0,0
"4140",1990,3,95+,0,0
"4140",1990,3,UNK,0,0
"4140",1990,4,Total,25499,23580
"4140",1990,4,0,0,0
"4140",1990,4,1,1,0
"4140",1990,4,2,1,1
"4140",1990,4,3,0,1
"4140",1990,4,4,0,0
"4140",1990,4,5 - 9,3,2
"4140",1990,4,10 - 14,6,5
"4140",1990,4,15 - 19,8,8
"4140",1990,4,20 - 24,17,35
"4140",1990,4,25 - 29,29,47
"4140",1990,4,30 - 34,42,76
"4140",1990,4,35 - 39,41,143
