"","Year","Cause","Age","Female","Male"
"2260",2001,1,Total,2038,2587
"2260",2001,1,0,117,136
"2260",2001,1,1,20,20
"2260",2001,1,2,4,5
"2260",2001,1,3,12,5
"2260",2001,1,4,3,10
"2260",2001,1,5 - 9,13,22
"2260",2001,1,10 - 14,14,27
"2260",2001,1,15 - 19,30,38
"2260",2001,1,20 - 24,50,64
"2260",2001,1,25 - 29,83,127
"2260",2001,1,30 - 34,81,147
"2260",2001,1,35 - 39,82,153
"2260",2001,1,40 - 44,90,171
"2260",2001,1,45 - 49,110,152
"2260",2001,1,50 - 54,125,177
"2260",2001,1,55 - 59,152,218
"2260",2001,1,60 - 64,153,191
"2260",2001,1,65 - 69,155,217
"2260",2001,1,70 - 74,189,243
"2260",2001,1,75 - 79,208,182
"2260",2001,1,80 - 84,147,133
"2260",2001,1,85 - 89,115,91
"2260",2001,1,90 - 94,50,32
"2260",2001,1,95+,25,14
"2260",2001,1,UNK,10,12
"2260",2001,2,Total,265,418
"2260",2001,2,0,27,35
"2260",2001,2,1,8,13
"2260",2001,2,2,0,1
"2260",2001,2,3,1,1
"2260",2001,2,4,0,2
"2260",2001,2,5 - 9,3,4
"2260",2001,2,10 - 14,2,4
"2260",2001,2,15 - 19,6,7
"2260",2001,2,20 - 24,19,8
"2260",2001,2,25 - 29,40,40
"2260",2001,2,30 - 34,27,66
"2260",2001,2,35 - 39,25,56
"2260",2001,2,40 - 44,28,43
"2260",2001,2,45 - 49,24,34
"2260",2001,2,50 - 54,8,22
"2260",2001,2,55 - 59,5,16
"2260",2001,2,60 - 64,6,13
"2260",2001,2,65 - 69,1,15
"2260",2001,2,70 - 74,6,17
"2260",2001,2,75 - 79,7,7
"2260",2001,2,80 - 84,7,7
"2260",2001,2,85 - 89,8,1
"2260",2001,2,90 - 94,1,2
"2260",2001,2,95+,4,2
"2260",2001,2,UNK,2,2
"2260",2001,3,Total,231,200
"2260",2001,3,0,0,1
"2260",2001,3,1,0,0
"2260",2001,3,2,0,0
"2260",2001,3,3,1,0
"2260",2001,3,4,1,1
"2260",2001,3,5 - 9,1,2
"2260",2001,3,10 - 14,0,2
"2260",2001,3,15 - 19,3,0
"2260",2001,3,20 - 24,6,1
"2260",2001,3,25 - 29,3,3
"2260",2001,3,30 - 34,11,5
"2260",2001,3,35 - 39,9,6
"2260",2001,3,40 - 44,17,9
"2260",2001,3,45 - 49,17,6
"2260",2001,3,50 - 54,19,11
"2260",2001,3,55 - 59,26,19
"2260",2001,3,60 - 64,25,20
"2260",2001,3,65 - 69,21,19
"2260",2001,3,70 - 74,22,33
"2260",2001,3,75 - 79,14,26
"2260",2001,3,80 - 84,24,20
"2260",2001,3,85 - 89,9,12
"2260",2001,3,90 - 94,2,2
"2260",2001,3,95+,0,0
"2260",2001,3,UNK,0,2
"2260",2001,4,Total,704,726
"2260",2001,4,0,0,0
"2260",2001,4,1,0,0
"2260",2001,4,2,0,0
"2260",2001,4,3,0,0
"2260",2001,4,4,0,0
"2260",2001,4,5 - 9,1,0
"2260",2001,4,10 - 14,2,0
"2260",2001,4,15 - 19,0,1
"2260",2001,4,20 - 24,2,2
"2260",2001,4,25 - 29,3,4
"2260",2001,4,30 - 34,7,4
"2260",2001,4,35 - 39,8,13
"2260",2001,4,40 - 44,14,20
"2260",2001,4,45 - 49,27,29
"2260",2001,4,50 - 54,52,55
"2260",2001,4,55 - 59,69,100
"2260",2001,4,60 - 64,68,87
"2260",2001,4,65 - 69,77,102
"2260",2001,4,70 - 74,93,89
"2260",2001,4,75 - 79,119,86
"2260",2001,4,80 - 84,64,70
"2260",2001,4,85 - 89,60,41
"2260",2001,4,90 - 94,22,16
"2260",2001,4,95+,13,4
"2260",2001,4,UNK,3,3
"2260",2001,5,Total,33,22
"2260",2001,5,0,1,1
"2260",2001,5,1,0,0
"2260",2001,5,2,0,0
"2260",2001,5,3,0,0
"2260",2001,5,4,0,0
"2260",2001,5,5 - 9,0,0
